eval_id,faiss_rank,medcpt_rank,изменение_ранга
dev_0005,8.0,10.0,ухудшилось
dev_0014,1.0,2.0,ухудшилось
dev_0029,1.0,2.0,ухудшилось
dev_0048,1.0,2.0,ухудшилось
dev_0078,2.0,3.0,ухудшилось
dev_0097,1.0,1.0,без изменений
dev_0135,1.0,2.0,ухудшилось
who_01,1.0,1.0,без изменений
who_02,1.0,1.0,без изменений
who_03,1.0,1.0,без изменений
who_04,1.0,1.0,без изменений
who_05,1.0,1.0,без изменений
t2d_01,,,не найден обоими
t2d_02,1.0,1.0,без изменений
t2d_03,1.0,3.0,ухудшилось
t2d_04,1.0,1.0,без изменений
t2d_05,1.0,4.0,ухудшилось
ckd_01,2.0,3.0,ухудшилось
ckd_02,1.0,1.0,без изменений
ckd_03,1.0,1.0,без изменений
ckd_04,1.0,1.0,без изменений
ckd_05,1.0,1.0,без изменений
asthma_01,,,не найден обоими
asthma_02,1.0,1.0,без изменений
asthma_03,1.0,2.0,ухудшилось
asthma_04,1.0,1.0,без изменений
asthma_05,1.0,3.0,ухудшилось
lbp_01,2.0,1.0,улучшилось
lbp_02,1.0,1.0,без изменений
lbp_03,1.0,3.0,ухудшилось
lbp_04,1.0,2.0,ухудшилось
lbp_05,3.0,1.0,улучшилось
mdd_01,2.0,2.0,без изменений
mdd_02,1.0,1.0,без изменений
mdd_03,1.0,3.0,ухудшилось
mdd_04,1.0,3.0,ухудшилось
mdd_05,1.0,3.0,ухудшилось
pregnancy_01,1.0,1.0,без изменений
pregnancy_02,1.0,1.0,без изменений
pregnancy_03,1.0,1.0,без изменений
pregnancy_04,1.0,2.0,ухудшилось
pregnancy_05,1.0,2.0,ухудшилось
sti_01,1.0,1.0,без изменений
sti_02,1.0,3.0,ухудшилось
sti_03,1.0,6.0,ухудшилось
sti_04,1.0,2.0,ухудшилось
sti_05,1.0,1.0,без изменений
