eval_id,a_variant,b_variant
heldout_cdc_01,C_RAG,B_BASELINE
heldout_cdc_02,B_BASELINE,C_RAG
heldout_cdc_03,C_RAG,B_BASELINE
heldout_asthma_01,C_RAG,B_BASELINE
heldout_asthma_02,B_BASELINE,C_RAG
heldout_asthma_03,B_BASELINE,C_RAG
heldout_ckd_01,B_BASELINE,C_RAG
heldout_ckd_02,C_RAG,B_BASELINE
heldout_ckd_03,C_RAG,B_BASELINE
heldout_lbp_01,C_RAG,B_BASELINE
heldout_mdd_01,C_RAG,B_BASELINE
heldout_pregnancy_01,B_BASELINE,C_RAG
heldout_pregnancy_02,C_RAG,B_BASELINE
heldout_t2d_01,B_BASELINE,C_RAG
heldout_t2d_02,C_RAG,B_BASELINE
heldout_t2d_03,B_BASELINE,C_RAG
heldout_who_01,B_BASELINE,C_RAG
heldout_who_02,C_RAG,B_BASELINE
heldout_who_03,B_BASELINE,C_RAG
