eval_id,question_source,dense_rank,tfidf_rank,dense_rank_cmp,tfidf_rank_cmp,better_method
dev_0005,real_dev,8.0,,8.0,inf,dense
dev_0014,real_dev,1.0,2.0,1.0,2.0,dense
dev_0029,real_dev,1.0,1.0,1.0,1.0,tie
dev_0048,real_dev,1.0,1.0,1.0,1.0,tie
dev_0078,real_dev,2.0,1.0,2.0,1.0,tfidf
dev_0097,real_dev,1.0,4.0,1.0,4.0,dense
dev_0135,real_dev,1.0,9.0,1.0,9.0,dense
who_01,guideline,1.0,2.0,1.0,2.0,dense
who_02,guideline,1.0,1.0,1.0,1.0,tie
who_03,guideline,1.0,3.0,1.0,3.0,dense
who_04,guideline,1.0,2.0,1.0,2.0,dense
who_05,guideline,1.0,6.0,1.0,6.0,dense
t2d_01,guideline,,,inf,inf,tie
t2d_02,guideline,1.0,6.0,1.0,6.0,dense
t2d_03,guideline,1.0,10.0,1.0,10.0,dense
t2d_04,guideline,1.0,1.0,1.0,1.0,tie
t2d_05,guideline,1.0,2.0,1.0,2.0,dense
ckd_01,guideline,2.0,1.0,2.0,1.0,tfidf
ckd_02,guideline,1.0,1.0,1.0,1.0,tie
ckd_03,guideline,1.0,1.0,1.0,1.0,tie
ckd_04,guideline,1.0,4.0,1.0,4.0,dense
ckd_05,guideline,1.0,4.0,1.0,4.0,dense
asthma_01,guideline,,6.0,inf,6.0,tfidf
asthma_02,guideline,1.0,6.0,1.0,6.0,dense
asthma_03,guideline,1.0,,1.0,inf,dense
asthma_04,guideline,1.0,1.0,1.0,1.0,tie
asthma_05,guideline,1.0,4.0,1.0,4.0,dense
lbp_01,guideline,2.0,1.0,2.0,1.0,tfidf
lbp_02,guideline,1.0,7.0,1.0,7.0,dense
lbp_03,guideline,1.0,4.0,1.0,4.0,dense
lbp_04,guideline,1.0,,1.0,inf,dense
lbp_05,guideline,3.0,1.0,3.0,1.0,tfidf
mdd_01,guideline,2.0,2.0,2.0,2.0,tie
mdd_02,guideline,1.0,2.0,1.0,2.0,dense
mdd_03,guideline,1.0,,1.0,inf,dense
mdd_04,guideline,1.0,1.0,1.0,1.0,tie
mdd_05,guideline,1.0,1.0,1.0,1.0,tie
pregnancy_01,guideline,1.0,2.0,1.0,2.0,dense
pregnancy_02,guideline,1.0,,1.0,inf,dense
pregnancy_03,guideline,1.0,1.0,1.0,1.0,tie
pregnancy_04,guideline,1.0,,1.0,inf,dense
pregnancy_05,guideline,1.0,2.0,1.0,2.0,dense
sti_01,guideline,1.0,1.0,1.0,1.0,tie
sti_02,guideline,1.0,1.0,1.0,1.0,tie
sti_03,guideline,1.0,3.0,1.0,3.0,dense
sti_04,guideline,1.0,2.0,1.0,2.0,dense
sti_05,guideline,1.0,2.0,1.0,2.0,dense
