eval_id,query,answerable_from_kb,top1_score,top2_score,top3_score,mean_top3_score,predicted_covered,error_type,negative_type
dev_0005,Hi my boyfriend and I have been together for over a year and just recently (about 5 months after his best friends death) he has begun to act strange. Hes temper has become a lot worse and he has a short fuse. He is only 20. He feels so much stress and pressure even when there isnt things to stress about. Hes not himself and admitted that he is feeling depressed lately. His moods switch in an instant. Is there something i can do about it? Does he need medical help for depression or manic depression? Is there something besides medication to help?,1,0.6280732750892639,0.6263933181762695,0.6228625774383545,0.6257763902346293,0,false_negative,positive
dev_0014,"Hi, I am suffering from lower back pain going to my lower right ribs. Ive undergone blood test, urinary test, whole abdominal ultrasound and even kidney xray but found nothing on it. Also lately i feel thirsty all the time. Is there any other kind of test that I need to undergo in order to determine the cause of this?.",1,0.6683353185653687,0.6619844436645508,0.6563315391540527,0.6622171004613241,1,correct,positive
dev_0029,"I have been told that I have stage 5 advanced chronic kidney disease, blood pressure perfect cholesterol perfect.Feel great look great, drs are surprised say that considering my blood work I shoulod be deathly sick but Im not at all. I was told that i need dialysis and transplant...shouldnt I be tested further",1,0.7230855226516724,0.7187207937240601,0.7138227224349976,0.71854301293691,1,correct,positive
dev_0048,hi sir iam having a sciatica problem and lumber spine problem for this pain i had taken a electro homeopathy treatment in that doctor had given me a electric shock on my left leg main nerve for 3 times and the pain is gone for few days only after that it came again i had taken  lot of pills but no cure now my doctor suggest me duzella 30 mg so how much its useful for me pls suggest me some good medicine iam fearing tht any side affects will come because my marriage is thier in a month and iam having high uric acid 9.0,1,0.6925415992736816,0.6821657419204712,0.6792253255844116,0.6846442222595215,1,correct,positive
dev_0078,"two months now into it...started off lower back pain then soreness in hip flexor both legs but more on right. now pain and ackey in both legs ham strings and quads. When driving, 10 min in, severe pain or acke from butt down ham into back of knee. I have to get out and stand up. then good for another 10 min. This is getting unbearable.",1,0.6466420888900757,0.6445702910423279,0.6140483617782593,0.6350869139035543,0,false_negative,positive
dev_0097,"ihave severe asthma and have been 5 times in the last 9 weeks and been given lots of steroids, so i am on insulin now. i am so wore ouy and can hardly get around. thw wheezing has stopped. i have high numbers of latic acid in the muscles. please tell me what to do.",1,0.6720102429389954,0.671577513217926,0.6670722961425781,0.6702200174331665,1,correct,positive
dev_0135,"I experience respiratory distress symptoms (SOB, decreased O2, voice changes) when I am exposed to perfumes and a few other strong oders and flying dust/dirt. What could this be a symptoms of?I am 37 years old, weigh 145, and have no hx of asthma or any other respiratory issues.",1,0.6908507943153381,0.6646523475646973,0.6622440814971924,0.6725824077924093,1,correct,positive
who_01,At what blood pressure level should pharmacological treatment for hypertension be started?,1,0.8208290338516235,0.7985000610351562,0.7786710262298584,0.799333373705546,1,correct,positive
who_02,What laboratory tests should be considered before starting antihypertensive medication and during treatment?,1,0.8360913395881653,0.7957320213317871,0.7698220610618591,0.8005484739939371,1,correct,positive
who_03,Which classes of medication are recommended as first-line treatment for hypertension?,1,0.7911750674247742,0.7375128865242004,0.7289414405822754,0.7525431315104166,1,correct,positive
who_04,When should combination drug therapy be used for treating hypertension?,1,0.7641502022743225,0.7632436752319336,0.7527675628662109,0.760053813457489,1,correct,positive
who_05,What blood pressure target should treatment aim for in adults receiving therapy for hypertension?,1,0.8280029296875,0.8157845735549927,0.7854479551315308,0.8097451527913412,1,correct,positive
t2d_01,How should glycemic control be monitored in adults with type 2 diabetes?,1,0.7680698037147522,0.7613664865493774,0.7446283102035522,0.7580215334892273,1,correct,positive
t2d_02,What lifestyle and other non-drug interventions are recommended for adults with type 2 diabetes?,1,0.7822372317314148,0.7719084024429321,0.7642693519592285,0.7728049953778585,1,correct,positive
t2d_03,What should be considered when choosing medications for treatment of type 2 diabetes?,1,0.7689781785011292,0.7671378254890442,0.7497496604919434,0.7619552214940389,1,correct,positive
t2d_04,What management strategies are recommended for adults with prediabetes to reduce progression to type 2 diabetes?,1,0.7900108098983765,0.7795806527137756,0.7714741230010986,0.7803551952044169,1,correct,positive
t2d_05,What education and support should patients receive to help them manage type 2 diabetes themselves?,1,0.7267975807189941,0.7017621994018555,0.6978882551193237,0.7088160117467245,1,correct,positive
ckd_01,"How should chronic kidney disease be evaluated, staged, and monitored over time?",1,0.714851438999176,0.7041733264923096,0.7037821412086487,0.707602302233378,1,correct,positive
ckd_02,When should a patient with chronic kidney disease be referred to a nephrology specialist?,1,0.7384611964225769,0.7143756151199341,0.7102015614509583,0.7210127909978231,1,correct,positive
ckd_03,How should the decision between dialysis and conservative management be made in advanced CKD?,1,0.8102715015411377,0.7915276885032654,0.7887835502624512,0.796860913435618,1,correct,positive
ckd_04,How should hyperkalemia be managed in a patient with chronic kidney disease?,1,0.7965540885925293,0.7894322872161865,0.7858507633209229,0.7906123797098795,1,correct,positive
ckd_05,What medication-related precautions should be considered in patients with chronic kidney disease?,1,0.7666115164756775,0.7617942094802856,0.7601295709609985,0.7628450989723206,1,correct,positive
asthma_01,How should asthma be diagnosed and assessed in a patient with respiratory symptoms?,1,0.7344614267349243,0.7338072657585144,0.7188267707824707,0.7290318210919698,1,correct,positive
