eval_id,одинаковый_порядок_top10,одинаковый_набор_top10
dev_0005,True,True
dev_0014,True,True
dev_0029,True,True
dev_0048,True,True
dev_0078,True,True
dev_0097,True,True
dev_0135,True,True
who_01,True,True
who_02,True,True
who_03,True,True
who_04,True,True
who_05,True,True
t2d_01,True,True
t2d_02,True,True
t2d_03,True,True
t2d_04,True,True
t2d_05,True,True
ckd_01,True,True
ckd_02,True,True
ckd_03,True,True
ckd_04,True,True
ckd_05,True,True
asthma_01,True,True
asthma_02,True,True
asthma_03,True,True
asthma_04,True,True
asthma_05,True,True
lbp_01,True,True
lbp_02,True,True
lbp_03,True,True
lbp_04,True,True
lbp_05,True,True
mdd_01,True,True
mdd_02,True,True
mdd_03,True,True
mdd_04,True,True
mdd_05,True,True
pregnancy_01,True,True
pregnancy_02,True,True
pregnancy_03,True,True
pregnancy_04,True,True
pregnancy_05,True,True
sti_01,True,True
sti_02,True,True
sti_03,True,True
sti_04,True,True
sti_05,True,True
