question_id,answer_id,checkpoint_step
0,A,2000
0,B,4000
0,C,1000
0,D,3000
0,E,5000
1,A,5000
1,B,2000
1,C,4000
1,D,3000
1,E,1000
2,A,4000
2,B,1000
2,C,3000
2,D,5000
2,E,2000
3,A,1000
3,B,3000
3,C,2000
3,D,4000
3,E,5000
4,A,2000
4,B,3000
4,C,4000
4,D,1000
4,E,5000
5,A,3000
5,B,2000
5,C,5000
5,D,4000
5,E,1000
6,A,1000
6,B,2000
6,C,3000
6,D,4000
6,E,5000
7,A,1000
7,B,3000
7,C,5000
7,D,4000
7,E,2000
8,A,5000
8,B,1000
8,C,3000
8,D,4000
8,E,2000
9,A,5000
9,B,4000
9,C,3000
9,D,1000
9,E,2000
10,A,5000
10,B,3000
10,C,4000
10,D,2000
10,E,1000
11,A,2000
11,B,3000
11,C,5000
11,D,1000
11,E,4000
12,A,3000
12,B,4000
12,C,1000
12,D,2000
12,E,5000
13,A,5000
13,B,3000
13,C,2000
13,D,4000
13,E,1000
14,A,4000
14,B,3000
14,C,5000
14,D,1000
14,E,2000
15,A,3000
15,B,4000
15,C,5000
15,D,1000
15,E,2000
16,A,3000
16,B,1000
16,C,5000
16,D,4000
16,E,2000
17,A,5000
17,B,4000
17,C,2000
17,D,1000
17,E,3000
18,A,1000
18,B,2000
18,C,3000
18,D,4000
18,E,5000
19,A,1000
19,B,3000
19,C,5000
19,D,2000
19,E,4000
20,A,4000
20,B,2000
20,C,1000
20,D,5000
20,E,3000
21,A,5000
21,B,4000
21,C,2000
21,D,1000
21,E,3000
22,A,5000
22,B,4000
22,C,3000
22,D,1000
22,E,2000
23,A,4000
23,B,1000
23,C,2000
23,D,3000
23,E,5000
24,A,1000
24,B,5000
24,C,3000
24,D,4000
24,E,2000
25,A,3000
25,B,5000
25,C,4000
25,D,2000
25,E,1000
26,A,1000
26,B,5000
26,C,2000
26,D,3000
26,E,4000
27,A,3000
27,B,2000
27,C,4000
27,D,5000
27,E,1000
28,A,3000
28,B,4000
28,C,5000
28,D,1000
28,E,2000
29,A,3000
29,B,2000
29,C,5000
29,D,4000
29,E,1000
30,A,4000
30,B,2000
30,C,1000
30,D,5000
30,E,3000
31,A,4000
31,B,1000
31,C,5000
31,D,2000
31,E,3000
32,A,4000
32,B,5000
32,C,2000
32,D,1000
32,E,3000
33,A,5000
33,B,2000
33,C,4000
33,D,3000
33,E,1000
34,A,5000
34,B,3000
34,C,1000
34,D,4000
34,E,2000
35,A,3000
35,B,2000
35,C,1000
35,D,5000
35,E,4000
36,A,4000
36,B,2000
36,C,3000
36,D,1000
36,E,5000
37,A,5000
37,B,3000
37,C,2000
37,D,1000
37,E,4000
38,A,1000
38,B,4000
38,C,2000
38,D,5000
38,E,3000
39,A,5000
39,B,1000
39,C,3000
39,D,2000
39,E,4000
40,A,2000
40,B,3000
40,C,5000
40,D,1000
40,E,4000
41,A,1000
41,B,4000
41,C,3000
41,D,5000
41,E,2000
42,A,4000
42,B,1000
42,C,2000
42,D,3000
42,E,5000
43,A,5000
43,B,2000
43,C,4000
43,D,1000
43,E,3000
44,A,4000
44,B,1000
44,C,5000
44,D,2000
44,E,3000
45,A,5000
45,B,1000
45,C,4000
45,D,3000
45,E,2000
46,A,3000
46,B,4000
46,C,2000
46,D,5000
46,E,1000
47,A,5000
47,B,2000
47,C,4000
47,D,1000
47,E,3000
48,A,5000
48,B,1000
48,C,3000
48,D,4000
48,E,2000
49,A,2000
49,B,5000
49,C,1000
49,D,3000
49,E,4000
